16:22:47:150,0.02,-97,-2
16:22:47:300,0.05,-97,0
16:22:47:450,0.07,-97,-1
16:22:47:600,0.09,-100,-6
16:22:47:750,0.12,-100,-11
16:22:47:900,0.14,-99,-6
16:22:48:050,0.16,-99,-4
16:22:48:200,0.19,-99,-8
16:22:48:350,0.21,-98,-3
16:22:48:500,0.23,-99,-4
16:22:48:650,0.26,-98,-5
16:22:48:800,0.28,-100,-7
16:22:48:950,0.3,-99,-2
16:22:49:100,0.33,-98,-4
16:22:49:250,0.35,-98,-6
16:22:49:400,0.37,-99,-4
16:22:49:550,0.4,-98,-7
16:22:49:700,0.42,-98,-4
16:22:49:850,0.44,-99,-3
16:22:50:000,0.47,-98,-5
16:22:50:150,0.49,-94,3
16:22:50:300,0.51,-95,2
16:22:50:450,0.54,-99,-6
16:22:50:600,0.56,-96,0
16:22:50:750,0.58,-97,-3
16:22:50:900,0.61,-98,-4
16:22:51:050,0.63,-97,0
16:22:51:200,0.66,-96,0
16:22:51:350,0.68,-99,-4
16:22:51:500,0.7,-97,-3
16:22:51:650,0.73,-98,-6
16:22:51:800,0.75,-96,0
16:22:51:950,0.77,-100,-11
16:22:52:100,0.8,-99,-10
16:22:52:250,0.82,-100,-6
16:22:52:400,0.84,-99,-2
16:22:52:550,0.87,-98,-6
16:22:52:700,0.89,-99,-3
16:22:52:850,0.91,-99,-7
16:22:53:000,0.94,-100,-16
16:22:53:150,0.96,-100,-8
16:22:53:300,0.98,-99,-7
16:22:53:450,1.01,-99,-11
16:22:53:600,1.03,-100,-10
16:22:53:750,1.05,-98,-6
16:22:53:900,1.08,-100,-10
16:22:54:050,1.1,-99,-12
16:22:54:200,1.12,-100,-11
16:22:54:350,1.15,-99,-4
16:22:54:500,1.17,-99,-10
16:22:54:650,1.19,-100,-10
16:22:54:800,1.22,-100,-9
16:22:54:950,1.24,-100,-14
16:22:55:100,1.26,-100,-17
16:22:55:250,1.29,-100,-8
16:22:55:400,1.31,-99,-14
16:22:55:550,1.33,-100,-10
16:22:55:700,1.36,-99,-10
16:22:55:850,1.38,-100,-6
16:22:56:000,1.4,-99,-7
16:22:56:150,1.43,-99,-9
16:22:56:300,1.45,-101,-16
16:22:56:450,1.47,-100,-12
16:22:56:600,1.5,-100,-16
16:22:56:750,1.52,-100,-14
16:22:56:900,1.54,-99,-14
16:22:57:050,1.63,-99,-15
16:22:57:200,1.83,-100,-10
16:22:57:350,2.04,-99,-16
16:22:57:500,2.24,-47,8
16:22:57:650,2.45,-47,8
16:22:57:800,2.66,-48,8
16:22:57:950,2.86,-47,8
16:22:58:100,3.07,-54,8
16:22:58:250,3.27,-49,11
16:22:58:400,3.48,-46,9
16:22:58:550,3.68,-47,8
16:22:58:700,3.89,-48,8
16:22:58:850,4.09,-50,11
16:22:59:000,4.3,-49,11
16:22:59:150,4.5,-60,10
