12:38:29:000,null
12:38:29:150,null
12:38:29:300,null
12:38:29:450,null
12:38:29:600,null
12:38:29:750,-36,11
12:38:29:900,-47,11
12:38:30:050,-36,9
12:38:30:200,-36,10
12:38:30:350,-36,10
12:38:30:500,-36,11
12:38:30:650,-36,11
12:38:30:800,-36,11
12:38:30:950,-36,11
12:38:31:100,-36,11
12:38:31:250,-36,11
12:38:31:400,-36,11
12:38:31:550,-37,8
12:38:31:700,-38,11
12:38:31:850,-38,8
12:38:32:000,-38,8
12:38:32:150,-35,8
12:38:32:300,-35,8
12:38:32:450,-39,9
12:38:32:600,-37,11
12:38:32:750,-50,10
12:38:32:900,-53,8
12:38:33:050,-51,10
12:38:33:200,-31,11
12:38:33:350,-34,10
12:38:33:500,-53,9
12:38:33:650,-46,9
12:38:33:800,-41,8
12:38:33:950,-40,11
12:38:34:100,-46,9
12:38:34:250,-49,9
12:38:34:400,-62,11
12:38:34:550,-73,7
12:38:34:700,-50,10
12:38:34:850,-36,9
12:38:35:000,-38,9
12:38:35:150,-39,8
12:38:35:300,-44,10
12:38:35:450,-47,8
12:38:35:600,-47,8
12:38:35:750,-41,8
12:38:35:900,-43,9
12:38:36:050,-46,8
12:38:36:200,-35,9
12:38:36:350,-40,9
12:38:36:500,-41,9
12:38:36:650,-60,7
12:38:36:800,-44,8
12:38:36:950,-37,9
12:38:37:100,-38,9
12:38:37:250,-36,10
12:38:37:400,-37,10
12:38:37:550,-38,9
12:38:37:700,-46,9
12:38:37:850,-44,11
12:38:38:000,-42,8
12:38:38:150,-36,11
12:38:38:300,-35,11
12:38:38:450,-35,8
12:38:38:600,-44,8
12:38:38:750,-45,8
12:38:38:900,-40,8
12:38:39:050,-40,9
12:38:39:200,-42,8
12:38:39:350,-47,8
12:38:39:500,-48,10
12:38:39:650,-46,11
12:38:39:800,-40,9
12:38:39:950,-40,8
12:38:40:100,-42,9
12:38:40:250,-43,7
12:38:40:400,-43,11
12:38:40:550,-41,8
12:38:40:700,-42,7
12:38:40:850,-41,6
12:38:41:000,-42,6
12:38:41:150,-39,8
12:38:41:300,-41,9
12:38:41:450,-48,8
12:38:41:600,null
12:38:41:750,-44,8
12:38:41:900,-45,6
12:38:42:050,-47,5
12:38:42:200,-46,4
12:38:42:350,-47,7
12:38:42:500,-47,8
12:38:42:650,-46,8
12:38:42:800,-44,8
12:38:42:950,-45,9
12:38:43:100,-46,10
12:38:43:250,-47,10
12:38:43:400,-46,10
12:38:43:550,-45,8
12:38:43:700,-45,8
12:38:43:850,-41,9
12:38:44:000,-45,9
12:38:44:150,-44,10
12:38:44:300,-47,8
12:38:44:450,-48,7
12:38:44:600,-46,6
12:38:44:750,-45,8
12:38:44:900,-47,9
12:38:45:050,-45,10
12:38:45:200,-47,8
