13:39:13:333,0
13:39:23:999,19.84
13:39:34:999,23.07
13:39:45:999,30.01
13:39:55:999,43.92
13:40:05:999,58.41
13:40:16:999,73.19
13:40:27:999,88.8
13:40:38:999,106.48
13:40:49:999,121.27
13:41:00:999,136.51
13:41:11:999,152.12
13:41:22:999,168.19
13:41:32:999,180.58
13:41:43:999,193.51
13:41:54:999,202.75
13:42:04:999,220.26
13:42:15:999,234.24
13:42:26:999,248.8
13:42:37:999,259.41
13:42:48:999,275.0
13:42:59:999,291.47
13:43:10:999,302.77
13:43:21:999,317.22
