14:01:05:000,0
14:01:16:000,34.41
14:01:27:000,60.89
14:01:38:000,86.95
14:01:48:000,105.74
14:01:59:000,129.57
14:02:11:000,162.51
14:02:21:000,191.46
14:02:31:000,222.6
14:02:42:000,256.9
14:02:53:000,286.63
14:03:04:000,319.75
14:03:15:000,355.87
14:03:26:000,392.04
14:03:37:000,426.37
14:03:48:000,461.85
14:03:59:000,497.2
14:04:10:000,533.77
14:04:21:000,568.01
14:04:32:000,604.52
14:04:43:000,640.07
14:04:53:000,671.71
14:05:04:000,707.3
14:05:15:000,742.28
14:05:26:000,774.5
14:05:37:000,804.79
14:05:48:000,838.36
14:05:59:000,871.89
14:06:10:000,906.1
14:06:20:000,938.1
14:06:31:000,974.11
14:06:42:000,1006.27
14:06:53:000,1042.95
14:07:04:000,1076.63
14:07:15:000,1112.58
14:07:26:000,1149.56
14:07:37:000,1198.06
14:07:47:000,1241.24
14:07:58:000,1289.31
14:08:08:000,1329.78
14:08:19:000,1366.78
14:08:29:000,1400.08
14:08:40:000,1426.56
14:08:51:000,1448.64
14:09:02:000,1473.68
14:09:13:000,1496.23
14:09:24:000,1524.04
14:09:35:000,1544.67
14:09:46:000,1566.51
14:09:57:000,1586.05
14:10:08:000,1612.47
14:10:18:000,1630.7
14:10:29:000,1651.64
14:10:39:000,1676.12
14:10:50:000,1703.08
14:11:00:000,1724.19
14:11:11:000,1748.86
14:11:22:000,1777.6
14:11:32:000,1801.37
14:11:43:000,1838.01
14:11:55:000,1883.74
14:12:05:000,1921.12
14:12:16:000,1965.39
14:12:27:000,2006.4
14:12:38:000,2048.12
14:12:48:000,2084.87
14:12:59:000,2123.68
14:13:09:000,2159.65
14:13:20:000,2197.92
14:13:30:000,2232.16
14:13:41:000,2268.72
14:13:52:000,2305.46
14:14:03:000,2342.85
14:14:14:000,2377.87
14:14:25:000,2412.93
14:14:36:000,2443.97
14:14:47:000,2478.57
14:14:57:000,2511.51
14:15:08:000,2544.37
14:15:18:000,2569.94
14:15:29:000,2598.91
14:15:40:000,2628.5
14:15:51:000,2663.27
14:16:02:000,2697.27
14:16:13:000,2736.2
14:16:24:000,2771.55
14:16:35:000,2809.27
14:16:45:000,2842.1
14:16:56:000,2877.39
14:17:06:000,2912.29
14:17:17:000,2944.95
14:17:27:000,2972.59
14:17:37:000,2997.25
14:17:48:000,3024.02
14:17:59:000,3056.37
14:18:10:000,3091.91
14:18:21:000,3125.11
14:18:32:000,3154.5
14:18:43:000,3155.15
14:18:53:000,3162.64
14:19:04:000,3171.39
14:19:15:000,3182.1
14:19:26:000,3195.06
14:19:36:000,3207.89
14:19:47:000,3220.69
14:19:57:000,3232.39
14:20:08:000,3249.3
14:20:18:000,3269.13
14:20:28:000,3288.02
14:20:39:000,3310.81
14:20:50:000,3336.32
14:21:01:000,3362.21
14:21:12:000,3391.4
14:21:23:000,3418.53
14:21:34:000,3446.08
14:21:45:000,3477.38
14:21:56:000,3509.66
14:22:06:000,3540.62
14:22:17:000,3576.26
14:22:28:000,3615.09
14:22:39:000,3653.4
14:22:49:000,3681.68
14:23:00:000,3710.18
14:23:11:000,3739.94
14:23:22:000,3771.64
14:23:33:000,3803.7
14:25:53:000,4048.27
14:26:03:000,4039.31
14:26:13:000,4029.39
14:26:24:000,4016.93
14:26:35:000,4012.79
14:26:46:000,4003.86
14:26:57:000,3995.45
14:27:08:000,3984.75
14:27:19:000,3977.5
14:27:30:000,3969.41
14:27:41:000,3954.36
14:27:52:000,3941.3
14:28:03:000,3921.57
14:28:14:000,3919.63
14:28:25:000,3931.49
14:28:36:000,3949.13
14:28:47:000,3967.68
14:28:58:000,3984.12
14:29:09:000,3999.84
14:29:19:000,4018.66
14:29:30:000,4036.03
